ward_code,ward_name,province_name
"26882","Phường An Hội Tây","Thành phố Hồ Chí Minh"
"26878","Phường An Hội Đông","Thành phố Hồ Chí Minh"
"27460","Phường An Lạc","Thành phố Hồ Chí Minh"
"26876","Phường An Nhơn","Thành phố Hồ Chí Minh"
"26983","Phường Bảy Hiền","Thành phố Hồ Chí Minh"
"27439","Phường Bình Hưng Hòa","Thành phố Hồ Chí Minh"
"27448","Phường Bình Trị Đông","Thành phố Hồ Chí Minh"
"27442","Phường Bình Tân","Thành phố Hồ Chí Minh"
"26884","Phường Gò Vấp","Thành phố Hồ Chí Minh"
"26890","Phường Hạnh Thông","Thành phố Hồ Chí Minh"
"22591","Phường Hòa Thắng","Khánh Hòa"
"27265","Phường Khánh Hội","Thành phố Hồ Chí Minh"
"29551","Phường Long Châu","Vĩnh Long"
"29557","Phường Phước Hậu","Vĩnh Long"
"29590","Phường Thanh Đức","Vĩnh Long"
"26898","Phường Thông Tây Hội","Thành phố Hồ Chí Minh"
"27004","Phường Tân Bình","Thành phố Hồ Chí Minh"
"26995","Phường Tân Hòa","Thành phố Hồ Chí Minh"
"27007","Phường Tân Sơn","Thành phố Hồ Chí Minh"
"26977","Phường Tân Sơn Hòa","Thành phố Hồ Chí Minh"
"26968","Phường Tân Sơn Nhất","Thành phố Hồ Chí Minh"
"27457","Phường Tân Tạo","Thành phố Hồ Chí Minh"
"27286","Phường Vĩnh Hội","Thành phố Hồ Chí Minh"
"27259","Phường Xóm Chiếu","Thành phố Hồ Chí Minh"
"22561","Phường Đông Ninh Hòa","Khánh Hòa"
"24823","Phường 1 Bảo Lộc","Lâm Đồng"
"24820","Phường 2 Bảo Lộc","Lâm Đồng"
"24841","Phường 3 Bảo Lộc","Lâm Đồng"
"11407","Phường An Biên","Thành phố Hải Phòng"
"29954","Phường An Bình","Đồng Tháp"
"23614","Phường An Bình","Gia Lai"
"31150","Phường An Bình","Thành phố Cần Thơ"
"19815","Phường An Cựu","Thành phố Huế"
"11581","Phường An Dương","Thành phố Hải Phòng"
"20275","Phường An Hải","Thành phố Đà Nẵng"
"11617","Phường An Hải","Thành phố Hải Phòng"
"28777","Phường An Hội","Vĩnh Long"
"27094","Phường An Khánh","Thành phố Hồ Chí Minh"
"23617","Phường An Khê","Gia Lai"
"20305","Phường An Khê","Thành phố Đà Nẵng"
"25333","Phường An Lộc","Đồng Nai"
"21910","Phường An Nhơn","Gia Lai"
"21925","Phường An Nhơn Bắc","Gia Lai"
"21943","Phường An Nhơn Nam","Gia Lai"
"21934","Phường An Nhơn Đông","Gia Lai"
"11593","Phường An Phong","Thành phố Hải Phòng"
"23602","Phường An Phú","Gia Lai"
"25975","Phường An Phú","Thành phố Hồ Chí Minh"
"26767","Phường An Phú Đông","Thành phố Hồ Chí Minh"
"07090","Phường An Sinh","Quảng Ninh"
"20575","Phường An Thắng","Thành phố Đà Nẵng"
"02512","Phường An Tường","Tuyên Quang"
"25732","Phường An Tịnh","Tây Ninh"
"32002","Phường An Xuyên","Cà Mau"
"27316","Phường An Đông","Thành phố Hồ Chí Minh"
"24044","Phường Ayun Pa","Gia Lai"
"22423","Phường Ba Ngòi","Khánh Hòa"
"00004","Phường Ba Đình","Thành phố Hà Nội"
"19009","Phường Ba Đồn","Quảng Trị"
"26068","Phường Biên Hòa","Đồng Nai"
"24305","Phường Buôn Hồ","Đắk Lắk"
"24133","Phường Buôn Ma Thuột","Đắk Lắk"
"26560","Phường Bà Rịa","Thành phố Hồ Chí Minh"
"27154","Phường Bàn Cờ","Thành phố Hồ Chí Minh"
"20335","Phường Bàn Thạch","Thành phố Đà Nẵng"
"05533","Phường Bá Xuyên","Thái Nguyên"
"05528","Phường Bách Quang","Thái Nguyên"
"06673","Phường Bãi Cháy","Quảng Ninh"
"25915","Phường Bình Cơ","Thành phố Hồ Chí Minh"
"25760","Phường Bình Dương","Thành phố Hồ Chí Minh"
"25987","Phường Bình Hòa","Thành phố Hồ Chí Minh"
"07081","Phường Bình Khê","Quảng Ninh"
"22045","Phường Bình Kiến","Đắk Lắk"
"25326","Phường Bình Long","Đồng Nai"
"26089","Phường Bình Lộc","Đồng Nai"
"26905","Phường Bình Lợi Trung","Thành phố Hồ Chí Minh"
"25480","Phường Bình Minh","Tây Ninh"
"29771","Phường Bình Minh","Vĩnh Long"
"27364","Phường Bình Phú","Thành phố Hồ Chí Minh"
"25195","Phường Bình Phước","Đồng Nai"
"26911","Phường Bình Quới","Thành phố Hồ Chí Minh"
"02524","Phường Bình Thuận","Tuyên Quang"
"22960","Phường Bình Thuận","Lâm Đồng"
"26929","Phường Bình Thạnh","Thành phố Hồ Chí Minh"
"27232","Phường Bình Thới","Thành phố Hồ Chí Minh"
"31168","Phường Bình Thủy","Thành phố Cần Thơ"
"27373","Phường Bình Tiên","Thành phố Hồ Chí Minh"
"27097","Phường Bình Trưng","Thành phố Hồ Chí Minh"
"27367","Phường Bình Tây","Thành phố Hồ Chí Minh"
"28315","Phường Bình Xuân","Đồng Tháp"
"27424","Phường Bình Đông","Thành phố Hồ Chí Minh"
"21907","Phường Bình Định","Gia Lai"
"30292","Phường Bình Đức","An Giang"
"31825","Phường Bạc Liêu","Cà Mau"
"00292","Phường Bạch Mai","Thành phố Hà Nội"
"11473","Phường Bạch Đằng","Thành phố Hải Phòng"
"22741","Phường Bảo An","Khánh Hòa"
"26098","Phường Bảo Vinh","Đồng Nai"
"10678","Phường Bắc An Phụ","Thành phố Hải Phòng"
"22411","Phường Bắc Cam Ranh","Khánh Hòa"
"24611","Phường Bắc Gia Nghĩa","Lâm Đồng"
"07210","Phường Bắc Giang","Bắc Ninh"
"19066","Phường Bắc Gianh","Quảng Trị"
"18115","Phường Bắc Hồng Lĩnh","Hà Tĩnh"
"01843","Phường Bắc Kạn","Thái Nguyên"
"22333","Phường Bắc Nha Trang","Khánh Hòa"
"25813","Phường Bến Cát","Thành phố Hồ Chí Minh"
"26743","Phường Bến Thành","Thành phố Hồ Chí Minh"
"28789","Phường Bến Tre","Vĩnh Long"
"14812","Phường Bỉm Sơn","Thanh Hóa"
"00118","Phường Bồ Đề","Thành phố Hà Nội"
"09295","Phường Bồng Lai","Bắc Ninh"
"21640","Phường Bồng Sơn","Gia Lai"
"28439","Phường Cai Lậy","Đồng Tháp"
"22432","Phường Cam Linh","Khánh Hòa"
"24787","Phường Cam Ly - Đà Lạt","Lâm Đồng"
"22420","Phường Cam Ranh","Khánh Hòa"
"02671","Phường Cam Đường","Lào Cai"
"29869","Phường Cao Lãnh","Đồng Tháp"
"06658","Phường Cao Xanh","Quảng Ninh"
"30505","Phường Chi Lăng","An Giang"
"03664","Phường Chiềng An","Sơn La"
"03670","Phường Chiềng Cơi","Sơn La"
"03679","Phường Chiềng Sinh","Sơn La"
"10549","Phường Chu Văn An","Thành phố Hải Phòng"
"25771","Phường Chánh Hiệp","Thành phố Hồ Chí Minh"
"27418","Phường Chánh Hưng","Thành phố Hồ Chí Minh"
"25837","Phường Chánh Phú Hòa","Thành phố Hồ Chí Minh"
"13318","Phường Châu Sơn","Ninh Bình"
"30316","Phường Châu Đốc","An Giang"
"10546","Phường Chí Linh","Thành phố Hải Phòng"
"07525","Phường Chũ","Bắc Ninh"
"25432","Phường Chơn Thành","Đồng Nai"
"10015","Phường Chương Mỹ","Thành phố Hà Nội"
"27343","Phường Chợ Lớn","Thành phố Hồ Chí Minh"
"27301","Phường Chợ Quán","Thành phố Hồ Chí Minh"
"31120","Phường Cái Khế","Thành phố Cần Thơ"
"31186","Phường Cái Răng","Thành phố Cần Thơ"
"29770","Phường Cái Vồn","Vĩnh Long"
"27112","Phường Cát Lái","Thành phố Hồ Chí Minh"
"24340","Phường Cư Bao","Đắk Lắk"
"07738","Phường Cảnh Thụy","Bắc Ninh"
