ward_code,ward_name,district_name,province_name
"26881","Phường 12","Quận Gò Vấp","Thành phố Hồ Chí Minh"
"26882","Phường 14","Quận Gò Vấp","Thành phố Hồ Chí Minh"
"26872","Phường 15","Quận Gò Vấp","Thành phố Hồ Chí Minh"
"26878","Phường 16","Quận Gò Vấp","Thành phố Hồ Chí Minh"
"27460","Phường An Lạc","Quận Bình Tân","Thành phố Hồ Chí Minh"
"27463","Phường An Lạc A","Quận Bình Tân","Thành phố Hồ Chí Minh"
"27451","Phường Bình Trị Đông B","Quận Bình Tân","Thành phố Hồ Chí Minh"
"26887","Phường 5","Quận Gò Vấp","Thành phố Hồ Chí Minh"
"26876","Phường 6","Quận Gò Vấp","Thành phố Hồ Chí Minh"
"26992","Phường 10","Quận Tân Bình","Thành phố Hồ Chí Minh"
"26983","Phường 11","Quận Tân Bình","Thành phố Hồ Chí Minh"
"26971","Phường 12","Quận Tân Bình","Thành phố Hồ Chí Minh"
"27436","Phường Bình Hưng Hòa","Quận Bình Tân","Thành phố Hồ Chí Minh"
"27439","Phường Bình Hưng Hoà A","Quận Bình Tân","Thành phố Hồ Chí Minh"
"27445","Phường Bình Trị Đông","Quận Bình Tân","Thành phố Hồ Chí Minh"
"27448","Phường Bình Trị Đông A","Quận Bình Tân","Thành phố Hồ Chí Minh"
"27442","Phường Bình Hưng Hoà B","Quận Bình Tân","Thành phố Hồ Chí Minh"
"26884","Phường 10","Quận Gò Vấp","Thành phố Hồ Chí Minh"
"26875","Phường 17","Quận Gò Vấp","Thành phố Hồ Chí Minh"
"26890","Phường 1","Quận Gò Vấp","Thành phố Hồ Chí Minh"
"26902","Phường 3","Quận Gò Vấp","Thành phố Hồ Chí Minh"
"22591","Phường Ninh Giang","Thị xã Ninh Hòa","Tỉnh Khánh Hòa"
"22594","Phường Ninh Hà","Thị xã Ninh Hòa","Tỉnh Khánh Hòa"
"22582","Xã Ninh Phú","Thị xã Ninh Hòa","Tỉnh Khánh Hòa"
"27271","Phường 8","Quận 4","Thành phố Hồ Chí Minh"
"27265","Phường 9","Quận 4","Thành phố Hồ Chí Minh"
"27295","Phường 15","Quận 4","Thành phố Hồ Chí Minh"
"29551","Phường 1","Thành phố Vĩnh Long","Tỉnh Vĩnh Long"
"29542","Phường 9","Thành phố Vĩnh Long","Tỉnh Vĩnh Long"
"29572","Phường Trường An","Thành phố Vĩnh Long","Tỉnh Vĩnh Long"
"29557","Phường 3","Thành phố Vĩnh Long","Tỉnh Vĩnh Long"
"29554","Phường 4","Thành phố Vĩnh Long","Tỉnh Vĩnh Long"
"29596","Xã Phước Hậu","Huyện Long Hồ","Tỉnh Vĩnh Long"
"29545","Phường 5","Thành phố Vĩnh Long","Tỉnh Vĩnh Long"
