new_ward_code,old_ward_code
"26882","26881"
"26882","26882"
"26878","26872"
"26878","26878"
"27460","27460"
"27460","27463"
"27460","27451"
"26876","26887"
"26876","26876"
"26983","26992"
"26983","26983"
"26983","26971"
"27439","27436"
"27439","27439"
"27448","27445"
"27448","27448"
"27442","27442"
"26884","26884"
"26884","26875"
"26890","26890"
"26890","26902"
"22591","22591"
"22591","22594"
"22591","22582"
"27265","27271"
"27265","27265"
"27265","27295"
"29551","29551"
"29551","29542"
"29551","29572"
"29557","29557"
"29557","29554"
"29557","29596"
"29590","29545"
"29590","29590"
"26898","26898"
"26898","26899"
"27004","26974"
"27004","27004"
"26995","26995"
"26995","26998"
"26995","27001"
"27007","27007"
"26977","26977"
"26977","26965"
"26977","26980"
"26968","26968"
"26968","26989"
"26968","26986"
"27457","27457"
"27457","27454"
"27286","27298"
"27286","27286"
"27286","27292"
"27286","27283"
"27259","27259"
"27259","27289"
"27259","27277"
"22561","22561"
"22561","22543"
"22561","22567"
"22561","22606"
"24823","24814"
"24823","24823"
"24823","24835"
"24820","24820"
"24820","24832"
"24820","25078"
"24841","24817"
"24841","24841"
"24841","24844"
"11407","11401"
"11407","11407"
"29954","29954"
"29954","29989"
"29954","29986"
"23614","23614"
"23614","24004"
"23614","24001"
"31150","31150"
"31150","31312"
"19815","19815"
"19815","19801"
"19815","19816"
"11581","11608"
"11581","11614"
"11581","11581"
"11581","11596"
"20275","20275"
"20275","20272"
"20275","20278"
"11617","11623"
"11617","11626"
"11617","11617"
"28777","28777"
"28777","28792"
"28777","28798"
"28777","29014"
"27094","27094"
"27094","27115"
"27094","27088"
"27094","27118"
"23617","23617"
"23617","23620"
"23617","23633"
"23617","23630"
"23617","23623"
"23617","23635"
"20305","20224"
"20305","20306"
"20305","20305"
"25333","25325"
"25333","25336"
"25333","25333"
"21910","21910"
"21910","21913"
"21910","21922"
"21925","21916"
"21925","21925"
"21925","21919"
"21943","21943"
"21943","21949"
"21934","21934"
"21934","21928"
"11593","11590"
"11593","11593"
"11593","11584"
"23602","23582"
"23602","23602"
"23602","23599"
"25975","25975"
"26767","26779"
"26767","26767"
"07090","07075"
"07090","07084"
"07090","07090"
"20575","20575"
"20575","20562"
"20575","20561"
"02512","02218"
"02512","02515"
"02512","02512"
"02512","02503"
"02512","02518"
"25732","25732"
"25732","25717"
"32002","32005"
"32002","32002"
"32002","31999"
"32002","32022"
"32002","32023"
"27316","27334"
"27316","27316"
"27316","27304"
"24044","24044"
"24044","24045"
"24044","24041"
"24044","24042"
"22423","22423"
"22423","22474"
"00004","00013"
"00004","00004"
"00004","00019"
"00004","00022"
"19009","19087"
"19009","19078"
"19009","19060"
"19009","19009"
"26068","26062"
"26068","26068"
"26068","26053"
"26068","26059"
"24305","24305"
"24305","24308"
"24305","24311"
"24305","24318"
"24305","24322"
"24305","24331"
"24133","24133"
"24133","24136"
"24133","24142"
"24133","24145"
"24133","24148"
"24133","24160"
"26560","26560"
"26560","26554"
"26560","26557"
"26560","26548"
"27154","27160"
"27154","27157"
"27154","27154"
"27154","27151"
"27154","27148"
"20335","20335"
"20335","20375"
"20335","20362"
"05533","05533"
"05533","05512"
"05533","05509"
"05528","05528"
"05528","05506"
"05528","05527"
"06673","06673"
"06673","06679"
"25915","25897"
"25915","25915"
"25760","25760"
"25760","25762"
"25760","25763"
"25760","25924"
"25987","25987"
"25987","25990"
"07081","07081"
"07081","07096"
"07081","07078"
"22045","22024"
"22045","22042"
"22045","22045"
"22045","22162"
"25326","25324"
"25326","25320"
"25326","25326"
"25326","25354"
"26089","26323"
"26089","26089"
"26089","26095"
"26905","26923"
"26905","26908"
"26905","26905"
"25480","25480"
"25480","25477"
"25480","25474"
"25480","25471"
"29771","29771"
"29771","29806"
"27364","27385"
"27364","27364"
"25195","25195"
"25195","25198"
"25195","25205"
"25195","25201"
"25195","25204"
"25195","25213"
"26911","26911"
"26911","26962"
"02524","02524"
"02524","02521"
"22960","23101"
"22960","22927"
"22960","22960"
"26929","26917"
"26929","26929"
"26929","26914"
"27232","27220"
"27232","27232"
"27232","27229"
"31168","31177"
"31168","31168"
"31168","31178"
"27373","27373"
"27373","27382"
"27373","27376"
"27097","27097"
"27097","27100"
"27097","27091"
"27367","27367"
"27367","27352"
"28315","28315"
"28315","28717"
"27424","27424"
"27424","27433"
"21907","21907"
"21907","21937"
"21907","21931"
"30292","30289"
"30292","30292"
"30292","30310"
"31825","31825"
"31825","31813"
"31825","31816"
"31825","31822"
"31825","31828"
"00292","00292"
"00292","00289"
"00292","00277"
"00292","00271"
"00292","00295"
"00292","00280"
"11473","11473"
"11473","11539"
"11473","11500"
"22741","22741"
"22741","22744"
"22741","22774"
"26098","26092"
"26098","26098"
"10678","10681"
"10678","10678"
"10678","10684"
"22411","22408"
"22411","22411"
"22411","22468"
"24611","24611"
"24611","24612"
"24611","24619"
"24611","24622"
"07210","07201"
"07210","07207"
"07210","07225"
"07210","07210"
"07210","07213"
"07210","07231"
"07210","07441"
"19066","19102"
"19066","19066"
"19066","19081"
"18115","18115"
"18115","18124"
"18115","18121"
"18115","18400"
"01843","01837"
"01843","01843"
"01843","01852"
"01843","01855"
"22333","22327"
"22333","22330"
"22333","22333"
"22333","22339"
"22333","22384"
"22333","22387"
"25813","25834"
"25813","25825"
"25813","25813"
"26743","26743"
"26743","26749"
"26743","26746"
"28789","28780"
"28789","28789"
"28789","28906"
"14812","14821"
"14812","14815"
"14812","14812"
"14812","15277"
"00118","00133"
"00118","00118"
"00118","00130"
"00118","00139"
"09295","09307"
"09295","09298"
"09295","09295"
"21640","21640"
"21640","21685"
"28439","28439"
"28439","28440"
"28439","28486"
"22432","22426"
"22432","22432"
"22432","22429"
"24787","24787"
"24787","24790"
"24787","24808"
"22420","22420"
"22420","22417"
"22420","22414"
"02671","02656"
"02671","02653"
"02671","02668"
"02671","02671"
"02671","02650"
"02671","02658"
"02671","02674"
"29869","29869"
"29869","29875"
"29869","29872"
"29869","29878"
"29869","29892"
"29869","29893"
"29869","29890"
"29869","29899"
"29869","29896"
"06658","06658"
"06658","06649"
"30505","30505"
"30505","30508"
"30505","30535"
"03664","03667"
"03664","03664"
"03664","03661"
"03670","03670"
"03670","03676"
"03670","03658"
"03679","03679"
"03679","03673"
"10549","10549"
"10549","10579"
"10549","10582"
"10549","10588"
"25771","25759"
"25771","25771"
"25771","25774"
"27418","27397"
"27418","27403"
"27418","27409"
"27418","27418"
"25837","25837"
"25837","25831"
"13318","13318"
"13318","13459"
"13318","13441"
"30316","30328"
"30316","30319"
"30316","30316"
"30316","30322"
"10546","10546"
"10546","10576"
"10546","10591"
"07525","07525"
"07525","07549"
